Strain,Diet,Number,Designation ,Body Weight (g),Skin Wet weight (g),Skin Dry Weight (g),Skin relative water,Skin Ash weight (g),Cl- (mg/kg),K+ (mg/kg),Na+ (mg/kg),Total  Cl- in skin (mg),Total K+ in skin (mg),Total Na+ in skin (mg),Total  Cl- in skin (mmol),Total K+ in skin (mmol),Total Na+ in skin (mmol),rSkin Cl- (mmol /g DW),rSkin K+ (mmol /g DW),rSkin Na+ (mmol /g DW),Skin Na+/Skin W,Skin K+/Skin W,Skin (Na + K)/Skin W,%W,rskin Na+/rW,rskin K+/rW,rskin Na+K/rW,rskin (Na+K)
BXH8,Sůl,2,BXH8-S-Skin-2,295.400,53.819,21.884,0.593,0.585,143000.000,203000.000,146000.000,83.587,118.658,85.340,2.358,3.035,3.712,0.108,0.139,0.170,0.1162367744,0.09503072671,0.2112675011,59.33835685,0.2858634462,0.233710985,0.5195744312,0.308
BXH8,Sůl,3,BXH8-S-Skin-3,287.200,52.600,21.691,0.588,0.472,118000.000,138000.000,99900.000,55.744,65.193,47.194,1.572,1.667,2.053,0.072,0.077,0.095,0.06641354865,0.05394455354,0.1203581022,58.76290668,0.1610529339,0.130815606,0.29186854,0.172
BXH8,Voda,4,BXH8-W-Skin-4,277.600,49.846,20.394,0.591,0.464,148000.000,170000.000,120000.000,68.598,78.795,55.620,1.935,2.015,2.419,0.095,0.099,0.119,0.08214631589,0.06842787995,0.1505741958,59.0855901,0.2007760007,0.1672464057,0.3680224063,0.217
BXH8,Voda,5,BXH8-W-Skin-5,263.800,46.608,19.780,0.576,0.753,86700.000,96700.000,67600.000,65.307,72.840,50.920,1.842,1.863,2.215,0.093,0.094,0.112,0.08255857186,0.06944152797,0.1520000998,57.56144514,0.1945367182,0.1636283992,0.3581651174,0.206
BXH8,Voda,6,BXH8-W-Skin-6,258.600,46.099,18.594,0.597,0.550,125000.000,143000.000,99500.000,68.692,78.584,54.679,1.938,2.010,2.378,0.104,0.108,0.128,0.08647202309,0.07307450717,0.1595465303,59.6648673,0.2143838815,0.1811683817,0.3955522632,0.236
HXB2,Sůl,1,HXB2-S-Skin-1,327.100,67.304,28.086,0.583,0.572,137000.000,179000.000,127000.000,78.402,102.438,72.679,2.211,2.620,3.161,0.079,0.093,0.113,0.08060959762,0.06680567891,0.1474152765,58.27050722,0.1931717648,0.160092238,0.3532640028,0.206
HXB2,Sůl,2,HXB2-S-Skin-2,315.500,64.922,27.332,0.579,0.573,117000.000,178000.000,121000.000,66.989,101.915,69.280,1.890,2.607,3.013,0.069,0.095,0.110,0.08016732739,0.06934407445,0.1495114018,57.90039125,0.1904229749,0.1647142967,0.3551372716,0.206
HXB2,Sůl,3,HXB2-S-Skin-3,315.800,61.910,26.025,0.580,0.737,108000.000,132000.000,88800.000,79.559,97.239,65.415,2.244,2.487,2.845,0.086,0.096,0.109,0.07929287591,0.06930625844,0.1485991343,57.96290945,0.1886259845,0.1648693036,0.3534952881,0.205
HXB2,Voda,4,HXB2-W-Skin-4,286.700,58.848,24.125,0.590,0.545,129000.000,173000.000,132000.000,70.247,94.208,71.881,1.981,2.410,3.127,0.082,0.100,0.130,0.09004679124,0.06939333055,0.1594401218,59.00383813,0.2196468819,0.1692678714,0.3889147533,0.229
HXB2,Voda,5,HXB2-W-Skin-5,307.900,60.479,24.774,0.590,0.523,129000.000,178000.000,142000.000,67.434,93.049,74.230,1.902,2.380,3.229,0.077,0.096,0.130,0.09043125172,0.06665419975,0.1570854515,59.03701413,0.2207633301,0.1627181182,0.3834814482,0.226
HXB2,Voda,6,HXB2-W-Skin-6,335.500,67.357,27.491,0.592,0.606,149000.000,169000.000,135000.000,90.338,102.463,81.849,2.548,2.621,3.560,0.093,0.095,0.130,0.08930648402,0.06573750945,0.1550439935,59.18572156,0.2188118655,0.1610649801,0.3798768456,0.225
HXB15,Sůl,1,HXB15-S-Skin-1,301.400,51.153,21.259,0.584,0.506,127000.000,162000.000,123000.000,64.235,81.937,62.211,1.812,2.096,2.706,0.085,0.099,0.127,0.09052197115,0.07010374581,0.160625717,58.43972774,0.2178088983,0.1686797078,0.3864886061,0.226
HXB15,Sůl,2,HXB15-S-Skin-2,289.500,50.210,21.826,0.565,0.632,105000.000,128000.000,91800.000,66.329,80.858,57.990,1.871,2.068,2.522,0.086,0.095,0.116,0.08886799036,0.0728601341,0.1617281245,56.53104018,0.2044401125,0.1676141651,0.3720542776,0.210
HXB15,Sůl,3,HXB15-S-Skin-3,295.500,51.027,21.090,0.587,0.478,119000.000,168000.000,125000.000,56.850,80.258,59.716,1.604,2.053,2.597,0.076,0.097,0.123,0.08676373222,0.068566947,0.1553306792,58.66986318,0.2099284902,0.1659006049,0.3758290952,0.220
HXB15,Voda,4,HXB15-W-Skin-4,260.200,44.370,19.227,0.567,0.382,131000.000,187000.000,134000.000,50.058,71.456,51.204,1.412,1.828,2.227,0.073,0.095,0.116,0.08858458166,0.0726895977,0.1612741794,56.66619606,0.2044237376,0.1677434037,0.3721671413,0.211
HXB15,Voda,5,HXB15-W-Skin-5,276.600,47.405,20.183,0.574,0.449,129000.000,169000.000,125000.000,57.985,75.965,56.187,1.636,1.943,2.444,0.081,0.096,0.121,0.08978207003,0.07137458966,0.1611566597,57.42407691,0.2108752166,0.1676407332,0.3785159498,0.217
HXB15,Voda,6,HXB15-W-Skin-6,269.500,46.020,19.125,0.584,0.457,127000.000,172000.000,122000.000,58.038,78.602,55.753,1.637,2.010,2.425,0.086,0.105,0.127,0.09016739623,0.07474729202,0.1649146882,58.44291285,0.2169723684,0.1798665333,0.3968389017,0.232
